index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,ATL,LAX,19:05:00,2,01:45:00,20:50:00,2,QA2583,QA,QAirline,20853,,
1,ATL,LAX,19:05:00,1,01:45:00,20:50:00,1,QA1373,QA,QAirline,23590,,
2,ATL,LAX,19:05:00,5,01:45:00,20:50:00,5,QA4464,QA,QAirline,23590,,
3,ATL,LAX,19:05:00,3,01:45:00,20:50:00,3,QA1383,QA,QAirline,23590,,
4,ATL,LAX,10:16:00,4,01:44:00,12:00:00,4,QA4794,QA,QAirline,32712,,
5,ATL,LAX,19:05:00,6,01:45:00,20:50:00,6,QA3999,QA,QAirline,32712,,
6,ATL,LAX,22:46:00,6,01:34:00,00:20:00,0,QA3037,QA,QAirline,44537,62648,
7,ATL,LAX,20:53:00,6,01:36:00,22:29:00,6,QA4051,QA,QAirline,44537,111792,
8,ATL,LAX,17:00:00,6,01:30:00,18:30:00,6,QA2749,QA,QAirline,45326,,
9,ATL,LAX,12:15:00,4,01:32:00,13:47:00,4,QA1599,QA,QAirline,45326,,
10,ATL,LAX,11:07:00,6,01:33:00,12:40:00,6,QA3576,QA,QAirline,45326,,
11,ATL,LAX,22:46:00,4,01:34:00,00:20:00,5,QA1448,QA,QAirline,45326,62648,
12,ATL,LAX,08:45:00,4,01:35:00,10:20:00,4,QA2700,QA,QAirline,45326,62648,
13,ATL,LAX,20:53:00,4,01:36:00,22:29:00,4,QA1449,QA,QAirline,45326,62648,
14,ATL,LAX,20:53:00,5,01:36:00,22:29:00,5,QA3087,QA,QAirline,45326,,
15,ATL,LAX,15:10:00,4,01:38:00,16:48:00,4,QA4783,QA,QAirline,45326,,
16,ATL,LAX,17:50:00,5,01:40:00,19:30:00,5,QA2725,QA,QAirline,45326,,
17,ATL,LAX,16:35:00,4,01:40:00,18:15:00,4,QA2003,QA,QAirline,45326,62648,
18,ATL,LAX,19:30:00,6,01:40:00,21:10:00,6,QA1816,QA,QAirline,45326,,
19,ATL,LAX,18:00:00,6,01:40:00,19:40:00,6,QA4116,QA,QAirline,45326,115969,
20,ATL,LAX,17:50:00,4,01:40:00,19:30:00,4,QA3474,QA,QAirline,45326,,
21,ATL,LAX,16:35:00,5,01:40:00,18:15:00,5,QA3871,QA,QAirline,45326,62648,
22,ATL,LAX,10:00:00,4,01:40:00,11:40:00,4,QA1738,QA,QAirline,45326,62648,
23,ATL,LAX,14:10:00,4,01:40:00,15:50:00,4,QA4257,QA,QAirline,45326,,
24,ATL,LAX,14:10:00,6,01:40:00,15:50:00,6,QA1435,QA,QAirline,45326,,
25,ATL,ORD,14:45:00,1,01:14:00,15:59:00,1,QA2405,QA,QAirline,8748,,
26,ATL,ORD,14:45:00,5,01:14:00,15:59:00,5,QA2288,QA,QAirline,8748,,
27,ATL,ORD,14:45:00,2,01:14:00,15:59:00,2,QA1820,QA,QAirline,12154,,
28,ATL,ORD,14:45:00,3,01:14:00,15:59:00,3,QA4137,QA,QAirline,14844,,
29,ATL,ORD,22:30:00,5,00:57:00,23:27:00,5,QA2590,QA,QAirline,16402,20465,
30,ATL,ORD,19:59:00,5,01:09:00,21:08:00,5,QA3546,QA,QAirline,16402,19616,
31,ATL,ORD,06:30:00,5,01:28:00,07:58:00,5,QA1285,QA,QAirline,16413,21992,
32,ATL,ORD,08:00:00,5,01:14:00,09:14:00,5,QA2737,QA,QAirline,16458,,
33,ATL,ORD,15:05:00,5,01:17:00,16:22:00,5,QA4894,QA,QAirline,16458,,
34,ATL,ORD,18:24:00,5,01:21:00,19:45:00,5,QA3758,QA,QAirline,16458,,
35,ATL,ORD,10:56:00,2,01:12:00,12:08:00,2,QA1635,QA,QAirline,17130,22672,
36,ATL,ORD,10:56:00,0,01:12:00,12:08:00,0,QA1843,QA,QAirline,17130,22672,
